reliability_type,sites,ac1coef,ac1se
Inter-rater,Oxford,0.936,0.015
Inter-rater,Oxford,0.963,0.011
Inter-rater,Oxford,0.933,0.015
Inter-rater,Oxford,0.96,0.011
Intra-rater,Oxford,0.997,0.003
Intra-rater,Oxford,0.947,0.013
Inter-rater,UCL,0.965,0.021
Inter-rater,UCL,0.977,0.017
Inter-rater,UCL,0.965,0.021
Inter-rater,UCL,0.977,0.017
Intra-rater,UCL,1,0
Intra-rater,UCL,0.988,0.012
Inter-rater,Exeter,1,0
Inter-rater,Exeter,1,0
Inter-rater,Exeter,1,0
Inter-rater,Exeter,1,0
Intra-rater,Exeter,1,0
Intra-rater,Exeter,1,0